id,gisjoin,dem_m,slope_deg,riverdist,roaddist,renters,total_pop,popden_sqk,area_sqkm,pecb5a65,medinc,dem_class,slope_class,soil_class,lulc_class,riverdist_class,road_class,renter_class,popden_class,b5a65_class,medinc_class,physical_comb,social_comb,both_indicator
74,G19011300018003,228.52,69.73,212.03,445.16,59.09,514,2014,0.26,33.46,37200,1,4,2,2,4,3,4,4,3,5,2.6,3.8,2.96
75,G19011300019001,227.21,67.1,187.67,298.14,58.45,1475,2651,0.56,5.69,31250,1,4,1,2,5,2,4,1,1,5,2.6,2.6,2.6
76,G19011300019002,228.29,66.29,296.07,230.78,84.19,646,2393,0.27,40.25,24750,1,4,1,2,3,1,1,1,4,5,2.2,2.4,2.26
77,G19011300019003,226.09,61.85,263.02,272.21,100,482,491,0.98,21.37,61250,1,5,1,2,4,1,1,1,2,4,2.6,1.8,2.36
78,G19011300022001,220.94,58.43,130.07,251.6,60.81,1241,1295,0.96,10.88,40714,1,5,1,2,5,1,4,3,1,4,2.8,2.6,2.74
79,G19011300022002,222.53,65.16,146.29,442.93,33.04,1365,2317,0.59,16.26,55000,1,4,2,2,5,3,3,1,2,4,2.8,2.6,2.74
80,G19011300023001,225.72,66.79,138.95,358.18,26.35,830,1673,0.5,18.55,58947,1,4,2,2,5,2,2,4,2,4,2.8,2.8,2.8
81,G19011300023002,233.21,72.1,152.59,544.13,11.86,951,1522,0.62,19.45,57875,1,3,2,2,5,4,1,3,2,4,2.6,2.8,2.66
82,G19011300023003,235.99,70.95,164.23,700.5,13.98,1202,1616,0.74,19.63,46980,1,3,2,2,5,4,2,4,2,4,2.6,3.2,2.78
83,G19011300023004,249.22,77.13,284.38,643.69,19.64,1256,2049,0.61,20.62,80000,1,1,2,2,3,4,2,4,2,3,1.8,3,2.16
84,G19011300024001,234.44,70.07,262.36,374.45,33.41,772,877,0.88,32.77,65238,1,3,2,2,4,2,3,2,3,3,2.4,2.6,2.46
85,G19011300024002,248.07,74.34,265.67,267.55,40.12,1977,1568,1.26,18.87,50987,1,2,2,2,4,1,3,3,2,4,2.2,2.6,2.32
